name,mana,attack,health,durability,card_mark,is_Druid,is_Hunter,is_Paladin,is_Mage,is_Warrior,is_Shaman,is_Priest,is_Demon Hunter,is_Neutral,is_Rogue,is_Warlock,is_Death Knight,is_Amalgam,is_Beast,is_Demon,is_Dragon,is_Elemental,is_Mech,is_Murloc,is_Naga,is_Pirate,is_Quilboar,is_Totem,is_Undead,is_lengendary,is_Shadow,is_Nature,is_Fire,is_Arcane,is_Frost,is_Fel,is_Holy,lsa_0,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19
a-light-in-the-darkness,2,,,,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31504938660950965,-0.236196636171316,-0.22838422539406894,0.16350396715804796,0.10878539504354791,-0.23219410806231305,-0.03681592156559114,-0.12701606225185177,0.04574369722248717,-0.05948851723403112,0.14637221956565338,0.0866230770573638,-0.12565935079230386,-0.0005039724377387811,-0.12096164913048164,0.084295619914669,-0.25096016409863153,-0.05095804521741448,0.11225605649918174,-0.01423882566553435
a-new-challenger,7,,,,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24732913233532747,-0.1812045531388456,-0.27892381263485466,-0.04534597410728519,0.21866767906425677,0.1748257845058911,0.15983792287531276,-0.0031400394187147537,0.07902138166329992,-0.029098461293385322,0.08762545043989983,0.19878350953980825,-0.2131490942546836,0.25704213743261395,0.06060318596117645,0.04495475587847519,0.14194862854793266,0.04207757117683185,-0.04262219455297818,0.06934758719067109
aberrant-berserker,4,3.0,5.0,,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05827331583241142,-0.025364645642622002,-0.05061390105103717,-0.12119252920149075,0.05805792600304895,-0.20156536112203244,-0.03882348019817043,0.09412925964558919,0.026288882339620612,0.04274030453610179,-0.08909291534215785,0.003155246006260805,0.01118292284169114,-0.10274654221380371,-0.10788197006315071,-0.05902270045598746,0.1473034699004259,0.008103519869244956,-0.13221976977546512,-0.0901415694024196
abominable-bowman,7,6.0,7.0,,3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2637240745500874,-0.1545597426538991,-0.11961453580728684,0.11646754367437348,0.03599396069712521,0.02124971001348809,0.08611614351777616,-0.199537856657822,-0.24586973852120567,0.10678217449453278,-0.1655915620093259,-0.035985966545754366,0.1638433650922403,-0.04263138035614966,0.11698158804970317,0.19833157886145963,-0.0725333936587047,-0.1537961172241046,-0.1308856432104859,-0.04937720848792894
abominable-lieutenant,8,3.0,5.0,,3.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322657703765302,-0.09320134756018363,0.1624307933763313,-0.09325622587056667,-0.014344051857465918,-0.12036367038485653,0.2939508943788977,0.007975429015751458,0.003117476658634633,-0.1292319519978994,0.10523414459950418,0.043692892254790276,0.09362720310346342,-0.15351544332396566,0.151291070831851,-0.052550980291946665,0.17124441537683438,-0.05826180967744891,0.12612593501100416,0.04241402519759875
abomination,5,4.0,4.0,,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33401261525701315,0.4545902344320098,-0.061931582416413146,-0.029020783819467877,0.24689291290623927,0.27850289663521133,0.02408389793303667,0.0008386412690991052,0.010164001763014791,0.018770966216604235,-0.016362353052962866,0.04289780195279958,0.09128166722627093,-0.10442150628854628,-0.03822833521135073,0.07170947095013631,-0.041768095092883414,-0.05702518164223936,-0.09053037958572112,-0.03408054045184058
abusive-sergeant,1,1.0,1.0,,3.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39433853481774167,-0.19409594200639999,-0.1712763554739709,-0.2010557643263124,0.09005914425133622,-0.4476401645741932,0.014101058428266946,0.01708275852884373,-0.01960705832218927,0.05249541323405325,-0.04598674741811914,0.0055945227674835275,-0.0008113231106096613,-0.15767044260343008,-0.0651059200712464,-0.01564815604967602,-0.08871270018788999,-0.08543182767342006,-0.22710628734369986,-0.11656089809155758
abyssal-depths,3,,,,2.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17025225206024808,-0.00608849575286783,0.16503061370704236,-0.055638112155066435,0.010339422515185602,0.10432143722123455,-0.15504269769310738,-0.147920997078414,0.17001377521930433,0.06840833859830299,-0.07594529748305287,0.08904960334046966,0.11549926642379366,0.018710845823841204,-0.10335948258352588,0.07799012571583205,0.07365398168822149,0.029355402529706344,0.10822918745480281,-0.023879796366332237
abyssal-enforcer,7,6.0,6.0,,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31660046902704386,0.47699112110707376,-0.01737362839379898,-0.01257675044080334,0.06466757637139477,0.027071201032666324,-0.10001696448810657,-0.0652447696120386,0.07729150630721622,-0.1382920801014842,0.03316182769860797,-0.08801166861920466,-0.029139145747441034,-0.0005367740726857021,0.04145332633678522,0.022658488189084582,-0.06743659148373043,0.11797669027385069,-0.13660528950953513,-0.010119186238264279
abyssal-summoner,6,2.0,2.0,,3.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2877123588503132,-0.0880767778748273,-0.0077020613090872415,-0.0032784403670120324,0.18720953931267456,0.19234898894629265,0.019786878176586788,0.12100142794664429,-0.02533613459033058,-0.03475767878390118,-0.046360801276838476,-0.09104505797599777,0.005128534777305435,0.03342890851280199,-0.015866958157342646,-0.020034651248625898,0.034472321993637915,0.14958675235574245,0.02160424739481271,-0.054565811249070284
